timestamp,raw_value,attention,label
1644052140.346196,72,30,2
1644052140.34878,39,30,2
1644052140.349938,6,30,2
1644052140.352436,18,30,2
1644052140.354868,43,30,2
1644052140.356104,48,30,2
1644052140.3573408,54,30,2
1644052140.359862,67,30,2
1644052140.3623838,59,30,2
1644052140.3635929,53,30,2
1644052140.3663979,49,30,2
1644052140.368928,54,30,2
1644052140.370142,59,30,2
1644052140.371365,53,30,2
1644052140.374024,45,30,2
1644052140.3763342,45,30,2
1644052140.377397,40,30,2
1644052140.3801432,52,30,2
1644052140.381264,61,30,2
1644052140.383872,42,30,2
1644052140.386106,27,30,2
1644052140.38738,26,30,2
1644052140.3898911,19,30,2
1644052140.391386,24,30,2
1644052140.393801,36,30,2
1644052140.395061,26,30,2
1644052140.397583,13,30,2
1644052140.398836,29,30,2
1644052140.422713,34,30,2
1644052140.423983,8,30,2
1644052140.425215,-3,30,2
1644052140.426433,4,30,2
1644052140.427903,6,30,2
1644052140.428045,13,30,2
1644052140.4282858,33,30,2
1644052140.428436,29,30,2
1644052140.428546,1,30,2
1644052140.428649,-11,30,2
1644052140.428736,9,30,2
1644052140.428823,25,30,2
1644052140.428915,28,30,2
1644052140.43001,22,30,2
1644052140.431335,0,30,2
1644052140.432533,-11,30,2
1644052140.434035,6,30,2
1644052140.4354901,56,30,2
1644052140.4361768,83,30,2
1644052140.438693,61,30,2
1644052140.4399402,24,30,2
1644052140.4423318,-8,30,2
1644052140.444853,-14,30,2
1644052140.4461398,-4,30,2
1644052140.447349,4,30,2
1644052140.450049,12,30,2
1644052140.4527118,-12,30,2
1644052140.453724,-42,30,2
1644052140.4564428,-38,30,2
1644052140.457773,-8,30,2
1644052140.460201,10,30,2
1644052140.461472,18,30,2
1644052140.463763,0,30,2
1644052140.466317,-6,30,2
1644052140.4677172,5,30,2
1644052140.470273,5,30,2
1644052140.471531,10,30,2
1644052140.476484,26,30,2
1644052140.4777558,49,30,2
1644052140.478851,54,30,2
1644052140.481212,28,30,2
1644052140.48251,21,30,2
1644052140.483955,25,30,2
1644052140.485187,36,30,2
1644052140.488982,65,30,2
1644052140.4902542,71,30,2
1644052140.492573,60,30,2
1644052140.493747,64,30,2
1644052140.495164,53,30,2
1644052140.496246,35,30,2
1644052140.498786,20,30,2
1644052140.501444,11,30,2
1644052140.50269,26,30,2
1644052140.505196,48,30,2
1644052140.5064352,41,30,2
1644052140.508836,34,30,2
1644052140.5113149,38,30,2
1644052140.51264,49,30,2
1644052140.5151439,67,30,2
1644052140.516412,54,30,2
1644052140.518902,28,30,2
1644052140.520278,17,30,2
1644052140.522689,27,30,2
1644052140.5239942,57,30,2
1644052140.526437,70,30,2
1644052140.528786,67,30,2
1644052140.5299351,42,30,2
1644052140.5325131,11,30,2
1644052140.5340428,-1,30,2
1644052140.536247,4,30,2
1644052140.5374908,1,30,2
1644052140.5401568,7,30,2
1644052140.542572,33,30,2
1644052140.5439181,39,30,2
1644052140.5451741,21,30,2
1644052140.54761,12,30,2
1644052140.549959,39,30,2
1644052140.5514529,68,30,2
1644052140.553819,48,30,2
1644052140.5552099,9,30,2
1644052140.55775,-8,30,2
1644052140.559992,-10,30,2
1644052140.561195,-11,30,2
1644052140.563669,-12,30,2
1644052140.56493,0,30,2
1644052140.602547,24,30,2
1644052140.603818,27,30,2
1644052140.6049888,17,30,2
1644052140.606198,1,30,2
1644052140.610121,-12,30,2
1644052140.6102211,-11,30,2
1644052140.610313,-14,30,2
1644052140.610406,-25,30,2
1644052140.610495,7,30,2
1644052140.610582,45,30,2
1644052140.6106691,48,30,2
1644052140.6107562,38,30,2
